utc_date,timestamp,open,high,low,close,adj_close,volume,target
2023-09-08,1694156400,1.73,1.76,1.66,1.76,1.76,13000,-1
2023-09-11,1694415600,1.69,1.8,1.67,1.67,1.67,2600,1
2023-09-12,1694502000,1.8,1.8,1.67,1.7,1.7,2200,-1
2023-09-13,1694588400,1.63,1.79,1.6,1.62,1.62,26800,1
2023-09-14,1694674800,1.67,1.71,1.56,1.7,1.7,13300,-1
2023-09-15,1694761200,1.64,1.759,1.64,1.69,1.69,1800,-1
2023-09-18,1695020400,1.557,1.69,1.557,1.681,1.681,6200,-1
2023-09-19,1695106800,1.68,1.7,1.538,1.62,1.62,11100,-1
2023-09-20,1695193200,1.63,1.63,1.54,1.54,1.54,7800,-1
2023-09-21,1695279600,1.4,1.43,1.02,1.06,1.06,39000,-1
2023-09-22,1695366000,1.1,1.13,1.03,1.03,1.03,24200,-1
2023-09-25,1695625200,1.084,1.118,0.99,0.99,0.99,41500,1
2023-09-26,1695711600,0.955,1.18,0.955,1.09,1.09,11300,1
2023-09-27,1695798000,1.13,1.18,1.1,1.15,1.15,6900,1
2023-09-28,1695884400,1.16,1.2,1.16,1.16,1.16,3700,0
2023-09-29,1695970800,1.2,1.24,1.15,1.164,1.164,4800,1
2023-10-02,1696230000,1.21,1.44,1.21,1.42,1.42,34300,-1
2023-10-03,1696316400,1.36,1.36,1.16,1.33,1.33,10900,0
2023-10-04,1696402800,1.13,1.34,1.13,1.33,1.33,14900,1
2023-10-05,1696489200,1.314,1.35,1.314,1.35,1.35,1500,-1
2023-10-06,1696575600,1.24,1.24,1.18,1.24,1.24,1500,1
2023-10-09,1696834800,1.336,1.336,1.3,1.32,1.32,1800,1
2023-10-10,1696921200,1.43,1.43,1.32,1.35,1.35,2300,1
2023-10-11,1697007600,1.43,1.509,1.43,1.46,1.46,16600,-1
2023-10-12,1697094000,1.45,1.45,1.32,1.33,1.33,4100,0
2023-10-13,1697180400,1.424,1.424,1.327,1.327,1.327,2600,1
2023-10-16,1697439600,1.43,1.45,1.34,1.36,1.36,2800,0
2023-10-17,1697526000,1.39,1.45,1.36,1.36,1.36,8200,-1
2023-10-18,1697612400,1.36,1.36,1.342,1.342,1.342,2000,1
2023-10-19,1697698800,1.34,1.51,1.34,1.35,1.35,1800,1
2023-10-20,1697785200,1.35,1.44,1.35,1.44,1.44,1900,-1
2023-10-23,1698044400,1.45,1.49,1.35,1.41,1.41,1200,1
2023-10-24,1698130800,1.48,1.48,1.48,1.48,1.48,300,-1
2023-10-25,1698217200,1.361,1.361,1.356,1.356,1.356,1400,1
2023-10-26,1698303600,1.368,1.49,1.342,1.49,1.49,1800,-1
2023-10-27,1698390000,1.34,1.4,1.34,1.35,1.35,2200,-1
2023-10-30,1698649200,1.41,1.41,1.15,1.18,1.18,17800,1
2023-10-31,1698735600,1.262,1.262,1.262,1.262,1.262,800,1
2023-11-01,1698822000,1.32,1.33,1.22,1.28,1.28,1800,1
2023-11-02,1698908400,1.23,1.29,1.23,1.29,1.29,800,1
2023-11-03,1698994800,1.29,1.48,1.29,1.413,1.413,12200,-1
2023-11-06,1699257600,1.49,1.49,1.37,1.37,1.37,1900,1
2023-11-07,1699344000,1.38,1.4,1.38,1.39,1.39,2400,1
2023-11-08,1699430400,1.399,1.48,1.35,1.48,1.48,12900,0
2023-11-09,1699516800,1.45,1.48,1.45,1.48,1.48,1600,-1
2023-11-10,1699603200,1.5,1.5,1.42,1.46,1.46,5300,-1
2023-11-13,1699862400,1.39,1.51,1.39,1.433,1.433,4600,1
2023-11-14,1699948800,1.4,1.5,1.4,1.441,1.441,6900,-1
2023-11-15,1700035200,1.45,1.45,1.38,1.415,1.415,8300,1
2023-11-16,1700121600,1.38,1.43,1.38,1.43,1.43,16300,-1
2023-11-17,1700208000,1.428,1.428,1.38,1.39,1.39,3000,1
2023-11-20,1700467200,1.38,1.45,1.38,1.44,1.44,5600,-1
2023-11-21,1700553600,1.38,1.43,1.38,1.41,1.41,4800,-1
2023-11-22,1700640000,1.4,1.45,1.38,1.38,1.38,5100,1
2023-11-24,1700812800,1.39,1.48,1.38,1.4,1.4,19400,1
2023-11-27,1701072000,1.39,1.49,1.38,1.41,1.41,9500,0
2023-11-28,1701158400,1.41,1.45,1.38,1.405,1.405,3300,-1
2023-11-29,1701244800,1.42,1.474,1.35,1.35,1.35,10500,1
2023-11-30,1701331200,1.5,1.75,1.46,1.66,1.66,181500,1
2023-12-01,1701417600,1.59,1.69,1.48,1.69,1.69,29600,-1
2023-12-04,1701676800,1.65,1.65,1.58,1.6,1.6,21600,-1
2023-12-05,1701763200,1.521,1.67,1.52,1.555,1.555,19100,-1
2023-12-06,1701849600,1.55,1.55,1.46,1.5,1.5,35100,1
2023-12-07,1701936000,1.46,1.53,1.46,1.52,1.52,2100,-1
2023-12-08,1702022400,1.45,1.49,1.39,1.41,1.41,37200,-1
2023-12-11,1702281600,1.4,1.49,1.39,1.39,1.39,15000,1
2023-12-12,1702368000,1.402,1.456,1.4,1.4,1.4,8600,-1
2023-12-13,1702454400,1.687,1.687,1.36,1.36,1.36,22700,1
2023-12-14,1702540800,1.44,1.6,1.36,1.44,1.44,30000,1
2023-12-15,1702627200,1.56,1.56,1.4,1.54,1.54,61500,-1
2023-12-18,1702886400,1.33,1.45,1.33,1.4,1.4,18100,1
2023-12-19,1702972800,1.47,1.75,1.415,1.45,1.45,36100,1
2023-12-20,1703059200,1.74,1.74,1.38,1.59,1.59,38600,-1
2023-12-21,1703145600,1.53,1.53,1.394,1.46,1.46,13300,1
2023-12-22,1703232000,1.515,1.56,1.488,1.52,1.52,2300,1
2023-12-26,1703577600,1.62,1.71,1.53,1.67,1.67,46200,-1
2023-12-27,1703664000,1.615,1.63,1.561,1.63,1.63,5200,1
2023-12-28,1703750400,1.65,1.67,1.567,1.67,1.67,9500,-1
2023-12-29,1703836800,1.6,1.6,1.471,1.471,1.471,13500,1
2024-01-02,1704182400,1.56,1.69,1.483,1.69,1.69,8300,-1
2024-01-03,1704268800,1.7,1.7,1.52,1.52,1.52,9100,-1
2024-01-04,1704355200,1.56,1.64,1.46,1.46,1.46,9100,1
2024-01-05,1704441600,1.59,1.59,1.41,1.53,1.53,2800,1
2024-01-08,1704700800,1.64,1.64,1.51,1.56,1.56,7400,-1
2024-01-09,1704787200,1.61,1.629,1.43,1.55,1.55,4600,-1
2024-01-10,1704873600,1.65,1.65,1.5,1.54,1.54,5700,1
2024-01-11,1704960000,1.48,1.62,1.48,1.596,1.596,8600,-1
2024-01-12,1705046400,1.6,1.6,1.49,1.49,1.49,13500,1
