Date 	Open 	High 	Low 	Close 	Adj Close 	Volume
Oct 27, 2022 	42.1000 	43.0000 	40.0000 	41.9000 	41.9000 	18,930
Oct 26, 2022 	41.5000 	43.9000 	40.0000 	42.0000 	42.0000 	61,330
Oct 25, 2022 	36.8000 	41.5600 	36.8000 	39.7500 	39.7500 	58,280
Oct 24, 2022 	34.6000 	38.5000 	32.1000 	37.8000 	37.8000 	61,990
Oct 21, 2022 	34.2000 	34.7000 	30.8000 	34.0000 	34.0000 	37,540
Oct 20, 2022 	32.1000 	34.8000 	31.5000 	33.9000 	33.9000 	55,060
Oct 19, 2022 	29.2000 	33.0000 	28.9000 	31.6000 	31.6000 	121,900
Oct 18, 2022 	27.9000 	28.5000 	27.5000 	28.4000 	28.4000 	6,040
Oct 17, 2022 	28.0000 	28.4000 	26.3000 	27.3000 	27.3000 	16,970
Oct 14, 2022 	26.1500 	26.7000 	24.6700 	26.2000 	26.2000 	2,490
Oct 13, 2022 	24.8000 	26.5000 	24.0000 	26.3000 	26.3000 	3,180
Oct 12, 2022 	26.6000 	26.7100 	24.5800 	25.6000 	25.6000 	2,640
Oct 11, 2022 	26.8000 	26.8000 	24.5000 	25.9000 	25.9000 	6,370
Oct 10, 2022 	26.3000 	27.4000 	25.2000 	26.7000 	26.7000 	4,820
Oct 7, 2022 	27.3300 	27.5500 	26.1400 	26.8000 	26.8000 	5,580
Oct 6, 2022 	25.8000 	28.0000 	25.2500 	27.0000 	27.0000 	8,720
Oct 5, 2022 	25.7000 	26.4000 	24.7000 	26.2000 	26.2000 	4,470
Oct 4, 2022 	25.4500 	27.9000 	25.1000 	26.3000 	26.3000 	23,340
Oct 3, 2022 	23.9000 	25.2000 	23.4200 	24.3000 	24.3000 	7,040
Sep 30, 2022 	22.8000 	25.9000 	22.8000 	24.9000 	24.9000 	7,490
Sep 29, 2022 	25.0000 	25.0000 	22.8000 	24.1000 	24.1000 	6,360
Sep 28, 2022 	24.1000 	26.3000 	24.0000 	25.6000 	25.6000 	21,330
Sep 27, 2022 	23.0000 	25.0000 	21.1000 	23.6000 	23.6000 	8,480
Sep 26, 2022 	21.5000 	23.5000 	21.3000 	22.6000 	22.6000 	5,260
Sep 23, 2022 	21.9000 	22.3000 	19.6000 	21.8000 	21.8000 	8,680
Sep 22, 2022 	21.3000 	22.7000 	20.0000 	22.0000 	22.0000 	11,440
Sep 21, 2022 	21.6000 	22.9000 	20.7000 	21.9000 	21.9000 	11,010
Sep 20, 2022 	23.5000 	23.8000 	21.5000 	21.9000 	21.9000 	20,770
